Order_ID,Order_Date,Region,Product,Category,Item,Brand,Qty,Sales,Cost,Profit
NZ-ORD-1,2023-01-01,Christchurch,Product-18,Home Decor,Vase,IKEA,9,592.38,122.76,469.62
NZ-ORD-2,2023-01-02,Wellington,Product-27,Toys,Doll,Barbie,1,1397.1,1039.03,358.07
NZ-ORD-3,2023-01-03,Auckland,Product-5,Home Decor,Window Blind,Brother,2,1515.86,1314.33,201.53
NZ-ORD-4,2023-01-04,Auckland,Product-26,Electronics,CCTV,Huawei,4,1338.42,1427,-88.58
NZ-ORD-5,2023-01-05,Wellington,Product-16,Home Decor,Curtain,IKEA,6,481.89,361.61,120.28
NZ-ORD-6,2023-01-06,Wellington,Product-14,Electronics,CCTV,Huawei,6,1379.39,1356.3,23.09
NZ-ORD-7,2023-01-07,Christchurch,Product-26,Electronics,Mobile Phone,Apple,3,1324.24,930.49,393.75
NZ-ORD-8,2023-01-08,Auckland,Product-1,Electronics,Hardisk SDD,Kingston,1,140.43,158.45,-18.02
NZ-ORD-9,2023-01-09,Wellington,Product-22,Home Decor,Curtain,Rails,4,1948.69,1824.01,124.68
NZ-ORD-10,2023-01-10,Wellington,Product-15,Electronics,CCTV,Toshiba,8,632.38,542.26,90.12
NZ-ORD-11,2023-01-11,Christchurch,Product-12,Books,Documentary,Universal,10,1504.97,1420.64,84.33
NZ-ORD-12,2023-01-12,Dunedin,Product-9,Books,Romance,Warner Bros,10,1717.59,1536.9,180.69
NZ-ORD-13,2023-01-13,Hamilton,Product-21,Electronics,Hardisk SDD,Toshiba,3,1984.1,2052.26,-68.16
NZ-ORD-14,2023-01-14,Wellington,Product-23,Clothing,Pant,Puma,2,813.57,393.07,420.5
NZ-ORD-15,2023-01-15,Christchurch,Product-21,Clothing,Shirt,Puma,3,980.56,957.62,22.94
NZ-ORD-16,2023-01-16,Wellington,Product-5,Home Decor,Vase,Midea,6,1044.35,855.28,189.07
NZ-ORD-17,2023-01-17,Hamilton,Product-26,Books,Cartoon,Warner Bros,5,1703.89,1698.47,5.42
NZ-ORD-18,2023-01-18,Wellington,Product-16,Home Decor,Vase,Midea,10,1068.13,1039.56,28.57
NZ-ORD-19,2023-01-19,Dunedin,Product-9,Home Decor,Curtain,Rails,3,230.45,64.94,165.51
NZ-ORD-20,2023-01-20,Hamilton,Product-28,Toys,Doll,Yin Mang,3,1983.13,1746.57,236.56
NZ-ORD-21,2023-01-21,Dunedin,Product-3,Clothing,Pant,Adidas,7,1412.79,1199.3,213.49
NZ-ORD-22,2023-01-22,Wellington,Product-7,Books,Romance,Disney,9,1497.35,1039.27,458.08
NZ-ORD-23,2023-01-23,Auckland,Product-22,Clothing,Jacket,Adidas,2,1454.58,1286.22,168.36
NZ-ORD-24,2023-01-24,Hamilton,Product-10,Books,Romance,Disney,7,1492.82,1534.72,-41.9
NZ-ORD-25,2023-01-25,Auckland,Product-30,Electronics,CCTV,Samsung,9,1891.48,1733.71,157.77
NZ-ORD-26,2023-01-26,Dunedin,Product-11,Toys,Card Game,Marvel,8,66.05,-94.52,160.57
NZ-ORD-27,2023-01-27,Dunedin,Product-29,Clothing,Shoe,Converse,5,1038.45,775.26,263.19
