Order_ID;Order_Date;Cust_Type;Region;Product;Category;Item;Brand;Qty;Sales;Cost;Profit
NZ-ORD-1;01/01/2023;Returning;Christchurch;Product-18;Home Decor;Vase;IKEA;9;592.38;122.76;469.62
NZ-ORD-2;02/01/2023;Returning;Wellington;Product-27;Toys;Doll;Barbie;1;1397.1;1039.03;358.07
NZ-ORD-3;03/01/2023;Returning;Auckland;Product-5;Home Decor;Window Blind;Brother;2;1515.86;1314.33;201.53
NZ-ORD-4;04/01/2023;Returning;Auckland;Product-26;Electronics;CCTV;Huawei;4;1338.42;1427;-88.58
NZ-ORD-5;05/01/2023;Returning;Wellington;Product-16;Home Decor;Curtain;IKEA;6;481.89;361.61;120.28
NZ-ORD-6;06/01/2023;Returning;Wellington;Product-14;Electronics;CCTV;Huawei;6;1379.39;1356.3;23.09
NZ-ORD-7;07/01/2023;New;Christchurch;Product-26;Electronics;Mobile Phone;Apple;3;1324.24;930.49;393.75
NZ-ORD-8;08/01/2023;Returning;Auckland;Product-1;Electronics;Hardisk SDD;Kingston;1;140.43;158.45;-18.02
NZ-ORD-9;09/01/2023;New;Wellington;Product-22;Home Decor;Curtain;Rails;4;1948.69;1824.01;124.68
NZ-ORD-10;10/01/2023;Returning;Wellington;Product-15;Electronics;CCTV;Toshiba;8;632.38;542.26;90.12
NZ-ORD-11;11/01/2023;Returning;Christchurch;Product-12;Books;Documentary;Universal;10;1504.97;1420.64;84.33
NZ-ORD-12;12/01/2023;New;Dunedin;Product-9;Books;Romance;Warner Bros;10;1717.59;1536.9;180.69
NZ-ORD-13;13/01/2023;New;Hamilton;Product-21;Electronics;Hardisk SDD;Toshiba;3;1984.1;2052.26;-68.16
NZ-ORD-14;14/01/2023;New;Wellington;Product-23;Clothing;Pant;Puma;2;813.57;393.07;420.5
NZ-ORD-15;15/01/2023;New;Christchurch;Product-21;Clothing;Shirt;Puma;3;980.56;957.62;22.94
NZ-ORD-16;16/01/2023;Returning;Wellington;Product-5;Home Decor;Vase;Midea;6;1044.35;855.28;189.07
NZ-ORD-17;17/01/2023;Returning;Hamilton;Product-26;Books;Cartoon;Warner Bros;5;1703.89;1698.47;5.42
NZ-ORD-18;18/01/2023;Returning;Wellington;Product-16;Home Decor;Vase;Midea;10;1068.13;1039.56;28.57
NZ-ORD-19;19/01/2023;Returning;Dunedin;Product-9;Home Decor;Curtain;Rails;3;230.45;64.94;165.51
NZ-ORD-20;20/01/2023;New;Hamilton;Product-28;Toys;Doll;Yin Mang;3;1983.13;1746.57;236.56
NZ-ORD-21;21/01/2023;New;Dunedin;Product-3;Clothing;Pant;Adidas;7;1412.79;1199.3;213.49
NZ-ORD-22;22/01/2023;Returning;Wellington;Product-7;Books;Romance;Disney;9;1497.35;1039.27;458.08
NZ-ORD-23;23/01/2023;Returning;Auckland;Product-22;Clothing;Jacket;Adidas;2;1454.58;1286.22;168.36
NZ-ORD-24;24/01/2023;Returning;Hamilton;Product-10;Books;Romance;Disney;7;1492.82;1534.72;-41.9
NZ-ORD-25;25/01/2023;New;Auckland;Product-30;Electronics;CCTV;Samsung;9;1891.48;1733.71;157.77
NZ-ORD-26;26/01/2023;Returning;Dunedin;Product-11;Toys;Card Game;Marvel;8;66.05;-94.52;160.57
NZ-ORD-27;27/01/2023;New;Dunedin;Product-29;Clothing;Shoe;Converse;5;1038.45;775.26;263.19
NZ-ORD-28;28/01/2023;Returning;Christchurch;Product-21;Home Decor;Miniature Statue;Bucchari;2;1954.62;1998.76;-44.14
NZ-ORD-29;29/01/2023;New;Wellington;Product-29;Home Decor;Vase;IKEA;4;1558.92;1288.76;270.16
NZ-ORD-30;30/01/2023;Returning;Hamilton;Product-22;Electronics;Mobile Phone;Vivo;6;1164.95;1168.19;-3.24
NZ-ORD-31;31/01/2023;Returning;Auckland;Product-7;Toys;Doll;Hasbro;10;1496.33;1099.56;396.77
NZ-ORD-32;01/02/2023;Returning;Christchurch;Product-27;Clothing;Shirt;Converse;7;339.2;136.62;202.58
NZ-ORD-33;02/02/2023;Returning;Dunedin;Product-29;Clothing;Shoe;Adidas;4;202.99;251.09;-48.1
NZ-ORD-34;03/02/2023;New;Hamilton;Product-9;Home Decor;Vase;Foshan;2;826.14;692.59;133.55
NZ-ORD-35;04/02/2023;Returning;Auckland;Product-2;Electronics;Mobile Phone;Oppo;10;793.24;625.47;167.77
NZ-ORD-36;05/02/2023;New;Christchurch;Product-22;Home Decor;Window Blind;Kels;6;481.32;105.32;376
NZ-ORD-37;06/02/2023;New;Hamilton;Product-26;Home Decor;Vinyl Paper;Kenko;9;1222.2;1072.76;149.44
NZ-ORD-38;07/02/2023;New;Dunedin;Product-28;Clothing;Jacket;Nike;1;1432.87;1490.16;-57.29
NZ-ORD-39;08/02/2023;New;Auckland;Product-29;Electronics;Mobile Phone;Apple;3;1958.79;1959.7;-0.91
NZ-ORD-40;09/02/2023;New;Auckland;Product-15;Books;Documentary;National Geographic;4;576.75;167.72;409.03
NZ-ORD-41;10/02/2023;Returning;Dunedin;Product-20;Electronics;TV;Samsung;10;1357.52;1146.86;210.66
NZ-ORD-42;11/02/2023;Returning;Dunedin;Product-4;Toys;Puzzle;Marvel;10;531.25;200.69;330.56
NZ-ORD-43;12/02/2023;Returning;Auckland;Product-14;Toys;Puzzle;Hasbro;5;1097.27;764.5;332.77
